;Date;Type;Country;Injury
5187;24-Mar-1924;Boating;SPAIN;No injury to occupants, shark bit boat
5188;13-Feb-1924;Unprovoked;AUSTRALIA;Legs severely bitten, surgically amputated
5189;08-Feb-1924;Invalid;AUSTRALIA;Probable drowning & scavenging
5190;29-Jan-1924;Unprovoked;SOUTH AFRICA;FATAL
5191;25-Jan-1924;Unprovoked;SOUTH AFRICA;Foot lacerated
5192;09-Jan-1924;Unprovoked;AUSTRALIA;FATAL, right thigh severely bitten, left arm lacerated 
5193;12-Dec-1923;Unprovoked;AUSTRALIA;Lacerations to leg
5194;02-Dec-1923;Unprovoked;AUSTRALIA;FATAL, disappeared, thought to have been taken by a shark 
5195;23-Nov-1923;Unprovoked;AUSTRALIA;FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre
5196;02-Nov-1923;Invalid;AUSTRALIA;FATAL
5197;20-Oct-1923;Invalid;AUSTRALIA;"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s"
5198;17-Oct-1923;Boating;AUSTRALIA;No injury to occupants, shark bit boat
5199;16-Oct-1923;Unprovoked;AUSTRALIA;Arm severed, but survived
5200;08-Aug-1923;Unprovoked;GUYANA;Puncture wounds to left leg
5201;Reported 02-Jul-1923;Unprovoked;AUSTRALIA;non-fatal
5202;16-Jun-1923;Boating;AUSTRALIA;FATAL, taken by shark. Two other men drowned,  only 1 man survived
5203;06-Jun-1923;Boating;MEXICO;No injury to occupants, shark rammed boat
5204;Reported 23-May-1923;Unprovoked;AUSTRALIA;Minor puncture wounds to foot
5205;22-May-1923;Unprovoked;AUSTRALIA;FATAL
5206;18-Mar-1923;Unprovoked;AUSTRALIA;Lacerations to right thigh and knee
5207;Feb-1923;Unprovoked;USA;Right calf, right side of abdomen & left wrist & hand bitten
5208;27-Jan-1923;Invalid;AUSTRALIA;Death may have been due to drowning
5209;27-Jan-1923;Unprovoked;AUSTRALIA;FATAL, back of thigh bitten 
5210;14-Jan-1923;Invalid;CUBA;Although this incident is listed elsewhere as a shark attack, the account of the disaster suggests the 4 who perished probably drowned. Five people survived
5211;1923;Boating;USA;No injury to occupant Shark struck boat
5212;1923-1924;Unprovoked;PHILIPPINES;FATAL, abdomen severely bitten. Airplane summoned from Corregidor & injured man was lashed to wing, but he died  
5213;1923;Provoked;USA;Shark's tail broke his leg. PROVOKED INCIDENT
5214;1923;Provoked;USA;Shark's tail broke his leg. PROVOKED INCIDENT
5215;14-Dec-1922;Unprovoked;USA;FATAL, hip & thigh bitten with  tissue removed, including bone 
5216;05-Dec-1922;Unprovoked;AUSTRALIA;FATAL, severe injuries to torso  
5217;29-Sep-1922;Unprovoked;BARBADOS;FATAL
5218;29-Oct-1922;Invalid;AUSTRALIA;FATAL, but shark involvement prior to death unconfirmed
5219;28-Sep-1922;Unprovoked;USA;Survived
5220;Reported 26-Sep-1922;Unprovoked;ENGLAND;FATAL
5221;Reported 21-Sep-1922;Boating;USA;No injury to occupants, shark splintered stern
5222;19-Jul-1922;Unprovoked;USA;Leg bitten
5223;17-Jun-1922;Unprovoked;USA;FATAL, thigh bitten
5224;24-May 1922;Unprovoked;JAMAICA;FATAL, arm severed, thigh severely bitten  
5225;06-May-1922;Unprovoked;SOUTH AFRICA;Abdomen & thigh bitten
5226;26-Apr-1922;Unprovoked;AUSTRALIA;FATAL
5227;20-Mar-1922;Unprovoked;JAMAICA;Survived
5228;13-Mar-1922;Unprovoked;JAMAICA;FATAL, right leg severed at thigh 
5229;02-Mar-1922;Unprovoked;AUSTRALIA;FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene
5230;Reported 02-Feb-1922;Invalid;AUSTRALIA;Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed
5231;04-Feb-1922;Unprovoked;AUSTRALIA;FATAL, both arms & shoulder bitten
5232;Reported 28-Jan-1922;Unprovoked;IRAQ;FATAL
5233;15-Jan-1922;Unprovoked;AUSTRALIA;FATAL
5234;13-Jan-1922;Unprovoked;AUSTRALIA;Small laceration on left thigh & swim costume torn
5235;04-Jan-1922;Unprovoked;AUSTRALIA;FATAL, disappeared, then his shark-bitten remains washed ashore 
5236;11-Dec-1921;Unprovoked;AUSTRALIA;Survived
5237;27-Nov-1921;Unprovoked;AUSTRALIA;FATAL, disappeared, body not recovered
5238;27-Nov-1921;Unprovoked;AUSTRALIA;Right hip, buttock, elbow, arm & wrist bitten
5239;Reported 15-Nov-1921;Unprovoked;FIJI;FATAL
5240;12-Oct-1921;Unprovoked;AUSTRALIA;Lacerations to right arm & chest
5241;04-Oct-1921;Unprovoked;AUSTRALIA;Left thigh bitten, FATAL
5242;Sep-1921;Provoked;ENGLAND;Leg bitten by shark he was attempting to capture PROVOKED INCIDENT
5243;Reported 29-Aug-1929;Unprovoked;AUSTRALIA;Lacerations to arm
5244;28-Aug-1921;Unprovoked;PHILIPPINES;FATAL, abdomen  severely lacerated, taken by seaplane to hospital in Corrigedor but died  
5245;21-Jul-1921;Unprovoked;CUBA;FATAL
5246;Reported 11-Jan-1921;Invalid;PHILIPPINES;Buttons & shoes found in shark caught in fish trap
5247;29-Nov-1920;Unprovoked;AUSTRALIA;Lacerations to leg & hand
5248;22-Aug-1921;Unprovoked;HAITI;FATAL, large wound on thigh
5249;22-Nov-1920;Unprovoked;AUSTRALIA;Minor injuries to leg, hand & fingers
5250;04-Nov-1920;Sea Disaster;PHILIPPINES;FATAL
5251;14-Jul-1920;Invalid;USA;Thought to have been taken by a shark. Body was not recovered
5252;Reported 06-Jul-1920;Unprovoked;AUSTRALIA;Severe lacerations to right shoulder & arm
5253;29-Jun-1920;Unprovoked;USA;Knee & thigh bitten
5254;27-Jun-1920;Provoked;CANADA;No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT
5255;08-Mar-1920;Unprovoked;AUSTRALIA;Tossed in air by shark, sustained abrasions
5256;Reported 24-Jan-1920;Unprovoked;AUSTRALIA;Lacerations to foot
5257;03-Feb-1920;Unprovoked;SOUTH AFRICA;Abdomen bitten
5258;Reported 24-Jan-1920;Unprovoked;AUSTRALIA;FATAL
5259;15-Jan-1920;Unprovoked;AUSTRALIA;Leg bitten. FATAL
5260;1920s;Unprovoked;JAMAICA;FATAL
5261;1920;Unprovoked;NEW ZEALAND;"""Recovered"""
5262;1920;Unprovoked;SOUTH AFRICA;Thigh & buttocks bitten. Not known if he survived.
5263;Reported 30-Dec-1919;Unprovoked;AUSTRALIA;Lacerations to left leg
5264;07-Dec-1919;Unprovoked;AUSTRALIA;FATAL, left leg & calf bitten, leg surgically amputated 
5265;18-Nov-1919;Unprovoked;AUSTRALIA;Lacerations to buttocks
5266;12-Sep-1919;Unprovoked;COSTA RICA;FATAL, 6 men were taken by sharks as they neared the beach, 1 survived
5267;10-Aug-1919;Unprovoked;USA;Laceration to left thigh
5268;29-May-1919;Unprovoked;USA;Left foot bitten & abraded
5269;06-Apr-1919;Unprovoked;USA;FATAL
5270;16-Mar-1919;Invalid;AUSTRALIA;Shark involvement not confirmed
5271;17-Jan-1919;Unprovoked;AUSTRALIA;Multiple injuries, left leg surgically amputated at knee
5272;15-Jan-1919;Unprovoked;NEW ZEALAND;Leg bitten
5273;09-Jan-1919;Unprovoked;AUSTRALIA;FATAL, right thigh bitten 
5274;05-Jan-1919;Unprovoked;AUSTRALIA;FATAL, thigh bitten, leg amputated 
5275;Reported to have taken place in 1919;Boating;ITALY;No injury
5276;1919;Unprovoked;USA;Leg severed
5277;Nov-1918;Unprovoked;USA;FATAL
5278;Nov-1918;Sea Disaster;SAN DOMINGO;"FATAL, ""men snatched from rafts by sharks""   "
5279;19-Sep-1918;Unprovoked;AUSTRALIA;FATAL
5280;22-Mar-1918;Unprovoked;AUSTRALIA;Severe laceration to arm, necessitating surgical amputation at the elbow
5281;1918;Unprovoked;AUSTRALIA;Survived
5282;15-Dec-1917;Unprovoked;AUSTRALIA;Lacerations to left leg
5283;Nov-1917;Unprovoked;MOZAMBIQUE;FATAL
5284;21-Sep-1917;Unprovoked;USA;Left knee lacerated
5285;09-Sep-1917;Provoked;USA;Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT
5286;Sep-1917;Unprovoked;PANAMA;FATAL
5287;18-Jul-1917;Unprovoked;USA;FATAL
5288;15-Jul-1917;Sea Disaster;IRELAND;FATAL, only 1 survivor
5289;03-Jun-1917;Unprovoked;USA;Right arm bitten
5290;31-May-1917;Unprovoked;PHILIPPINES;FATAL, abdominal cavity removed 
5291;Reported 05-May-1917;Unprovoked;KUWAIT;Torso bitten
5292;1917;Unprovoked;LIBYA;Bitten by shark, but  repelled it with his 'skandalopetra' 
5293;30-Dec-1916;Unprovoked;AUSTRALIA;Right calf bitten
5294;08-Dec-1916;Unprovoked;AUSTRALIA;FATAL, right arm severed, chest punctured 
5295;08-Dec-1916;Unprovoked;AUSTRALIA;Leg nipped by shark
5296;15-Nov-1916;Provoked;PANAMA;"""Severely bitten"""
5297;10-Nov-1916;Unprovoked;AUSTRALIA;FATAL
5298;09-Nov-1916;Unprovoked;AUSTRALIA;FATAL
5299;11-Oct-1916;Provoked;USA;FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT
5300; 24-Aug-1916;Unprovoked;USA;Lower left leg severely bitten & became septic. Not known if he survived
5301;26-Jul-1916;Unprovoked;USA;Arm severely lacerated
5302;13-Jul-1916;Invalid;USA;No attack,  no injury
5303;13-Jul-1916;Unprovoked;USA;Ankle bruised
5304;12-Jul-1916;Unprovoked;USA;Lower left leg bitten, surgically amputated
5305;12-Jul-1916;Unprovoked;USA;FATAL, thigh bitten 
5306;12-Jul-1916;Unprovoked;USA;FATAL, legs & torso bitten 
5307;11-Jul-1916;Sea Disaster;BAHAMAS;"FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. ""Sharks were so thick that it was difficult to row"""
5308;08-Jul-1916;Unprovoked;SPAIN;Survived
5309;07-Jul-1916;Unprovoked;PHILIPPINES;Right foot severed
5310;06-Jul-1916;Unprovoked;USA;FATAL
5311;01-Jul-1916;Unprovoked;USA;FATAL, left leg bitten
5312;30-Jun-1916;Unprovoked;USA;Heel bitten
5313;Reported 24-Jun-1916;Unprovoked;ATLANTIC OCEAN;Presumed FATAL
5314;23-Jun-1916;Provoked;USA;Leg bitten by shark hooked shark PROVOKED INCIDENT
5315;Reported 25-Apr-1916;Unprovoked;AUSTRALIA;FATAL
5316;03-Apr-1916;Unprovoked;AUSTRALIA;FATAL
5317;19-Mar-1916;Unprovoked;AUSTRALIA;Minor lacerations to heel
5318;Reported 09-Dec-1915;Unprovoked;AUSTRALIA;Arm severed, lacerations to thigh
5319;10-Nov-1915;Unprovoked;AUSTRALIA;Severe bite to arm
5320;08-Nov-1914;Unprovoked;AUSTRALIA;Severe lacerations to feet & ankles
5321;03-Aug-1915;Unprovoked;USA;Laceration to left leg
5322;Reported 06-Jul-1915;Unprovoked;MEXICO;FATAL
5323;Reported 06-Jul-1915;Unprovoked;MEXICO;FATAL
5324;Reported 15-May-1915;Invalid;EGYPT;Shark involvement not confirmed
5325;29-Mar-1915;Unprovoked;AUSTRALIA;Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two
5326;06-Feb-1915;Unprovoked;AUSTRALIA;Foot bitten
5327;13-Jan-1915;Invalid;NEW ZEALAND;Death may have been due to drowning
5328;01-Jan-1915;Unprovoked;AUSTRALIA;FATAL
5329;Ca. 1915;Invalid;USA;Fatal, drowning or scavenging
5330;Reported 04-Dec-1914;Unprovoked;AUSTRALIA;Lacerations to right thigh and knee
5331;17-Oct-1914;Sea Disaster;SAMOA;Thigh bitten
5332;Reported 26-Sep-1914;Unprovoked;JAMAICA;FATAL
5333;09-Sep-1914;Unprovoked;USA;FATAL
5334;Reported 15-Jul-1914;Unprovoked;CROATIA;No injury, shark grabbed clothes
5335;Reported 09-Jul-1914;Provoked;USA;PROVOKED INCIDENT    Legs severed by shark entangled in his net
5336;07-Jul-1914;Unprovoked;CROATIA;No injury, shark nudged raft and circled for 2 hrs.
5337;13-Jun-1914;Boating;MONTENEGRO;No injury, shark bit paddle and stern of boat
5338;10-Jun-1914;Unprovoked;AUSTRALIA;FATAL
5339;31-May-1914;Sea Disaster;NEW CALEDONIA;FATAL x 2
5340;14-May-1914;Provoked;USA;PROVOKED INCIDENT Lacerations to right hand by hooked shark
5341;Reported 14-Mar-1914;Invalid;USA;His remains were recovered from a shark 3 years after his disappearance - Probable drowning / scavenging
5342;Reported 10-Mar-1914;Sea Disaster;GUYANA;FATAL
5343;03-Mar-1914;Unprovoked;USA;FATAL
5344;Reported 09-Feb-1914;Unprovoked;AUSTRALIA;Lacerations to foot
5345;  03-Feb-1914;Unprovoked;AUSTRALIA;Lacerations to arms
5346;Reported 17-Jan-1914;Unprovoked;AUSTRALIA;Laceration to leg
5347;1914;Unprovoked;SOUTH AFRICA;No details
5348;Reported 30-Dec-1913;Provoked;USA;No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT
5349;Reported 26-Dec-1913;Sea Disaster;CUBA;FATAL
5350;27-Nov-1913;Unprovoked;NIGERIA;FATAL
5351;21-Nov-1913;Unprovoked;AUSTRALIA;"Calf severely bitten;  leg surgically amputated"
5352;21-Sep-1913;Unprovoked;USA;Major injuries but survived
5353;03-Sep-1913;Provoked;CROATIA;Badly bitten by a shark dragged onboard PROVOKED INCIDENT
5354;Reported 27-Aug-1913;Invalid;USA;Man's leg recovered from 800-lb shark
5355;Reported 27-Aug-1913;Invalid;USA;Female foot recovered from shark
5356;26-Aug-1913;Invalid;ITALY;Human casualties
5357;12-July-1913;Unprovoked;USA;FATAL
5358;Reported 10-Jul-1913;Unprovoked;COSTA RICA;FATAL
5359;21-May-1913;Provoked;USA;"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT"
5360;02-May-1913;Provoked;AUSTRALIA;Lacerations to thigh by netted shark PROVOKED INCIDENT
5361;27-Mar-1913;Unprovoked;SAMOA;Leg severed
5362;Jan-1913;Unprovoked;AUSTRALIA;Head, neck & left shoulder bitten
5363;1913;Unprovoked;REUNION;FATAL
5364;1913;Unprovoked;REUNION;FATAL
5365;1913;Unprovoked;AUSTRALIA;Arm severed
5366;Reported 30-Nov-1912;Sea Disaster;PHILIPPINES;FATAL
5367;30-Aug-1912;Unprovoked;USA;FATAL
5368;23-Jul-1912;Unprovoked;USA;Toes severed
5369;Reported 06-Jul-1912;Unprovoked;SOLOMON ISLANDS;FATAL
5370;04-May-1912;Invalid;SOUTH AFRICA;
5371;18-Mar-1912;Unprovoked;NEW ZEALAND;"""Slight laceration to leg"""
5372;22-Feb-1912;Provoked;AUSTRALIA;No injury, shark nipped diving suit after he prodded the shark PROVOKED INCIDENT 
5373;19-Feb-1912;Unprovoked;AUSTRALIA;Left calf & heel bitten
5374;03-Feb-1912;Unprovoked;NEW CALEDONIA;Left shoulder & both legs bitten
5375;26-Jan-1912;Unprovoked;AUSTRALIA;FATAL
5376;Reported 13-Jan-1912;Unprovoked;FIJI;FATAL
5377;06-Jan-1912;Unprovoked;AUSTRALIA;Thigh & lower abdomen severely bitten
5378;01-Jan-1912;Unprovoked;AUSTRALIA;FATAL
5379;1912;Unprovoked;SPAIN;FATAL
5380;08-Nov-1911;Invalid;USA;"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut."
5381;26-Oct-1911;Unprovoked;USA;FATAL
5382;25-Oct-1911;Unprovoked;AUSTRALIA;Calves bitten
5383;23-Sep-1911;Unprovoked;USA;FATAL
5384;20-Sep-1911;Unprovoked;USA;FATAL
5385;17-Sep-1911;Unprovoked;USA;Left arm & thigh bitten
5386;Reported 31-Jul-1911;Unprovoked;SPAIN;FATAL
5387;Reported 16-Jul-1911;Provoked;USA;Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT
5388;09-May-1911;Unprovoked;SOUTH AFRICA;FATAL, partial remains recovered
5389;Reported 01-May-1911;Provoked;USA;Bitten on left leg by hooked shark PROVOKED INCIDENT
5390;01-May-1911;Unprovoked;SOUTH AFRICA;FATAL
5391;Reported 08-Apr-1911;Boating;NEW ZEALAND;No injury to occupants, shark bit boat
5392;Reported 29-Mar-1911;Unprovoked;AUSTRALIA;FATAL
5393;04-Jan-1911;Sea Disaster;AUSTRALIA;Minor injuries
5394;1911;Unprovoked;USA;Minor injury to feet
5395;Ca. 1911;Unprovoked;NEW ZEALAND;FATAL
5396;Reported 25-Dec-1910;Invalid;CROATIA;FATAL?
5397;Reported 23-Dec-1910;Sea Disaster;AUSTRALIA;FATAL
5398;28-Nov-1910;Provoked;NORTH ATLANTIC OCEAN;Right hand severely bitten by netted shark PROVOKED INCIDENT
5399;24-Nov-1910;Unprovoked;AUSTRALIA;Foot bitten
5400;Reported 25-Jun-1910;Unprovoked;MEXICO;Leg bitten
5401;Reported 08-Jun-1910;Sea Disaster;MOZAMBIQUE;FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived
5402;Reported 16-May-1910;Invalid;USA;Presumed drowned & bodies taken by sharks
5403;31-Mar-1910;Unprovoked;PANAMA;FATAL
5404;08-Mar-1910;Unprovoked;NEW ZEALAND;Lacerations to foot
5405;Mar-1910;Invalid;USA;No injury
5406;  16-Feb-1910;Unprovoked;AUSTRALIA;Shoulder, back & leg bitten
5407;26-Jan-1910;Unprovoked;AUSTRALIA;FATAL
5408;1910;Invalid;USA;Body bitten by shark/s, but death may have been due to drowning
5409;1910;Unprovoked;PHILIPPINES;Calf removed, not known if he survived 
5410;Reported 26-Nov-1909;Unprovoked;USA;Severe lacerations to arm
5411;Reported 15-Dec-1909;Unprovoked;AUSTRALIA;FATAL
5412;05-Dec-1909;Provoked;AUSTRALIA;3 fingers bitten by hooked shark PROVOKED INCIDENT
5413;14-Nov-1909 to 19-Nov-1909;Sea Disaster;INDONESIA;FATAL, 101 people perished, including commander, Joseph Couailhac. Iit was reported that a shoal of sharks circled  passengers in the water and dragged scores of people to their deaths Of the 61 survivors, many were injured by sharks
5414;Reported 04-Sep-1909;Provoked;USA;Abrasion to leg from netted shark PROVOKED INCIDENT
5415;13-Aug-1909;Unprovoked;USA;FATAL
5416;24-Jul-1909;Unprovoked;USA;Right leg bitten
5417;15-Jul-1909;Unprovoked;USA;Hip & thigh lacerated
5418;Reported 26-Jun-1909;Unprovoked;MEXICO;FATAL
5419;26-Jun-1909;Unprovoked;SOUTH AFRICA;Remains of soldier in uniform. Probable drowning & scavenging
5420;18-Jun-1909;Sea Disaster;AUSTRALIA;FATAL, only his legs, still in sea-boots, were recovered 
5421;Reported 27-Apr-1909;Provoked;SPAIN;Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT
5422;10-Apr-1909;Invalid;USA; Search party saw a large shark devour what appeared to be part of her body
5423;Reported 09-Apr-1909;Unprovoked;TUNISIA;FATAL
5424;06-Mar-1909;Sea Disaster;SOUTH AFRICA;FATAL
5426;Jan-1909;Invalid;ITALY;" 3 unidentified bodies recovered (male, female & young girl) from gut of female  4.5 m [14'9""]  white shark caught in fishing net. They may have drowned in tidal wave following earthquake "
5427;1909;Unprovoked;AUSTRALIA;Survived
5428;31-Dec-1908;Unprovoked;SOUTH AFRICA;FATAL
5429;Reported 16-Dec-1908;Unprovoked;MEXICO;"FATAL, ""bitten in two"""
5430;   21-Sep-1908;Unprovoked;AUSTRALIA;FATAL
5431;05-Sep-1908;Unprovoked;USA;Lacerations to fingers
5432;Reported 28-Aug-1908;Unprovoked;SPAIN;FATAL
5433;Reported 18-Jul-1908;Invalid;SPAIN;Human remains recovered but shark involvement prior to death unconfirmed 
5434;Reported 08-Jul-1908;Unprovoked;CROATIA;FATAL, lost a leg
5435;18-Jun-1908;Unprovoked;EGYPT;FATAL
5436;08-Jun-1908;Sea Disaster;USA;FATAL
5437;Reported 02-Jun-1908;Sea Disaster;PAPUA NEW GUINEA;Remains of 3 humans recovered from shark, but shark involvement prior to death unconfirmed
5438;13-May-1908;Sea Disaster;INDONESIA;FATAL
5439;10-May-1908;Invalid;USA;FATAL, but shark involvement prior to death was not confirmed
5440;08-Jan-1908;Unprovoked;USA;"FATAL, ""pulled below the surface'  "
5441;21-Dec-1907;Unprovoked;AUSTRALIA;FATAL
5442;Reported 18-Oct-1907;Unprovoked;AUSTRALIA;FATAL
5443;Reported 16-Oct-1907;Unprovoked;CHINA;3 of thel 5 were injured, one of whom lost both hands
5444;Reported 16-Oct-1907;Unprovoked;CHINA; 2 of the 5 fishermen were so seriously injured they died of their wounds
5445;14-Oct-1907;Unprovoked;AUSTRALIA;Lacerations to left arm from shoulder to wrist
5446;12-Oct-1907;Invalid;HAITI;No attack, no injury
5447;08-Oct-1907;Unprovoked;USA;Arm severed at elbow,  surgically amputated at shoulder 
5448;Reported 19-Sep-1907;Invalid;ENGLAND;" ""Struck across loins"" but no injury. According to witnesses, incident involved a bottlenose dolphin."
5449;11-Sep-1907;Unprovoked;CROATIA;FATAL
5450;Reported 12-Aug-1907;Unprovoked;CROATIA;FATAL
5451;Reported 12-Aug-1907;Unprovoked;CROATIA;FATAL
5452;Reported 08-Aug-1907;Unprovoked;USA;Abrasion to chest
5453;Reported 14-Jul-1907;Unprovoked;CROATIA;FATAL
5454;Reported 04-Jul-1907;Invalid;AUSTRALIA;Disappeared, but shark involvement unconfirmed
5455;Jul-1907;Unprovoked;USA;Slight injuries to left knee & calf 
5456;20-Apr-1907;Unprovoked;MEXICO; 3 fingers & thigh lacerated, foot crushed
5457;26-Mar-1907;Unprovoked;USA;FATAL, shark bit his side, nearly cutting him in two  
5458;07-Mar-1907;Unprovoked;MALTA;FATAL,            Fell overboard and were killed by shark
5459;09-Feb-1907;Unprovoked;PHILIPPINES;Finger severed
5460;05-Feb-1907;Unprovoked;NEW ZEALAND;FATAL, leg severely bitten     
5461;03-Feb-1907;Unprovoked;AUSTRALIA;FATAL
5462;1907;Unprovoked;VIETNAM;Leg severely bitten, surgically amputated
5463;1907;Unprovoked;USA;FATAL
5464;16-Nov-1906;Unprovoked;JAMAICA;Leg bitten
5465;Reported 10-Oct-1906;Unprovoked;USA;Buttock bitten
5466;Reported 10-Oct-1906;Unprovoked;USA;FATAL
5467;Reported 10-Oct-1906;Unprovoked;USA;Arm severed
5468;Reported 10-Oct-1906;Unprovoked;USA;FATAL
5469;Reported 27-Sep-1906;Unprovoked;INDONESIA;Thumb & index finger of left hand severed
5470;Reported 27-Sep-1906;Unprovoked;INDONESIA;FATAL
5471;Reported 05-Sep-1906;Unprovoked;AUSTRALIA;FATAL
5472;Sep-1906;Provoked;USA;"PROVOKED INCIDENT        No injury; shirt torn by gaffed shark"
5473;20-Aug-1906;Unprovoked;YEMEN ;Leg severed. Injury originally thought due to boat's propeller
5474;04-Aug-1906;Unprovoked;USA;FATAL
5475;Reported 05-Jul-1906;Unprovoked;USA;FATAL
5476;Jul-1906;Invalid;MOZAMBIQUE;"Sanna may have drowned; his hand  (identified by ring on finger) found in a shark at the market"
5477;Reported 27-Apr-1906;Unprovoked;INDONESIA;FATAL
5478;16-Apr-1906;Provoked;AUSTRALIA;Finger severed by shark he had shot & stabbed PROVOKED INCIDENT
5479;14-Apr-1906;Unprovoked;AUSTRALIA;FATAL
5480;Reported 10-April 1906;Sea Disaster;INDONESIA;FATAL x 2
5481;Reported 02-April 1906;Invalid;AUSTRALIA;Cause of death may have been downing
5482;Reported 14-Feb-1906;Invalid;NEW ZEALAND;Shark involvement prior to death was not determined
5483;28-Jan-1906;Unprovoked;AUSTRALIA;FATAL
5484;20-Jan-1906;Unprovoked;SOUTH AFRICA;FATAL, hips & thigh bitten 
5485;31-Dec-1905;Unprovoked;SOUTH AFRICA;FATAL, left torso, buttocks, thigh & foot bitten 
5486;29-Dec-1905;Invalid;AUSTRALIA;"""Bad wound in the leg"" - 7-ft shark caught in the bath same day"
5487;29-Sep-1905;Unprovoked;AUSTRALIA;FATAL. Shark involvement suspected but not confirmed
5488;Reported 06-Sep-1905;Provoked;USA;Lacerations to leg from hooked shark PROVOKED INCIDENT
5489;24-Aug-1905;Invalid;EGYPT;Probable drowning & scavenging. 
5490;Late Aug-1905;Unprovoked;USA;3 toes of right foot were severed
5491;Aug-1905;Unprovoked;PHILIPPINES;Leg bitten
5492;29-Jul-1905;Unprovoked;USA;Body not recovered FATAL
5493;Reported 25-Jul-1905;Invalid;ITALY;Body recovered from shark, probable drowning and scavenging
5494;10-Jul-1905;Unprovoked;INDONESIA;FATAL
5495;Jul-1905;Unprovoked;USA;FATAL
5496;22-May-1905;Unprovoked;USA;Lacerations to back & right leg
5497;06-Apr-1905;Unprovoked;SOUTH AFRICA;FATAL, thigh bitten, femoral artery severed  
5498;26-Mar-1905;Unprovoked;AUSTRALIA;Righ thigh severely bitten
5499;25-Mar-1905;Invalid;AUSTRALIA;FATAL
5500;10-Feb-1905;Invalid;AUSTRALIA;Thought to have been taken by a shark
5501;01-Jan-1905;Invalid;AUSTRALIA;Reported to have been killed by a shark but 2 years later he was found very much alive
5502;1905;Boating;USA;No injury, shark bumped skiff
5503;02-Nov-1904;Unprovoked;PHILIPPINES;Foot bitten
5504;Reported 11-Oct-1904;Unprovoked;INDIAN OCEAN;FATAL
5505;Sep-1904;Unprovoked;CUBA;FATAL, left leg severed below knee, right leg severed above knee by a second shark
5506;Aug-1904;Unprovoked;CUBA;FATAL, shark pulled them off hull of boat  
5507;28-Jul-1904;Unprovoked;USA;No injury
5508;27-Jul-1904;Unprovoked;USA;FATAL, body not recovered
5509;Reported 01-Jul-1904;Unprovoked;ITALY;FATAL x 4. Afterwards metal mesh nets were installed
5510;07-Feb-1904;Unprovoked;AUSTRALIA;FATAL
5511;04-Feb-1904;Unprovoked;NEW ZEALAND;FATAL
5512;23-Jan-1904;Unprovoked;NEW CALEDONIA;FATAL
5513;1904;Unprovoked;REUNION ISLAND;FATAL
5514;1904;Invalid;USA;Leg bitten
5515;1904;Unprovoked;PHILIPPINES;Left arm bitten
5516;1904;Unprovoked;USA;FATAL, disappeared, then shark caught with head and body of man, from waist down minus leg, in its gut
5517;04-Oct-1903;Unprovoked;CUBA;FATAL
5518;Reported 16-Sep-1903;Unprovoked;USA;Lacerations to right arm & shoulder
5519;July-1903 ;Unprovoked;FALKLAND ISLANDS;Right leg bitten, surgically amputated
5520;21-Jun-1903;Unprovoked;AUSTRALIA;FATAL
5521;04-May-1903;Unprovoked;MEXICO;FATAL x 3
5522;Reported 20-Mar-1903;Unprovoked;AUSTRALIA;Jumped off cliff
5523;12-Mar-1903;Unprovoked;AUSTRALIA;FATAL
5524;  10-Jan-1903;Unprovoked;AUSTRALIA;FATAL
5525;Summer of 1903;Unprovoked;CRETE;FATAL
5526;Ca. 1903;Unprovoked;USA;FATAL, remains (foot) recovered from shark 2 days later
5527;Reported 22-Dec-1902;Unprovoked;NICARAGUA;FATAL
5528;10-Nov-1902;Unprovoked;AUSTRALIA;FATAL
5529;Reported 01-Nov-1902;Unprovoked;USA;Severe laceration to hand
5530;Reported 29-Aug-1902;Unprovoked;ITALY;FATAL
5531;Reported 24-Aug-1902;Boating;CROATIA;No injury to occupants, shark grabbed anchor rope & towed boat
5532;08-Aug-1902;Unprovoked;USA;FATAL, both arms severed  
5533;15-Jul-1902;Provoked;ITALY;Face & arms injured by hooked shark PROVOKED INCIDENT 
5534;06-Jul-1902;Provoked;USA;Shark bit his left arm after he grabbed its tail PROVOKED INCIDENT
5535;02-Jun-1902;Unprovoked;PHILIPPINES;"""Nose hanging by a threat, prints of shark's teeth over entire right cheek"""
5536;Jun-1902;Unprovoked;EGYPT;Bitten on hand and thigh
5537;Apr-1902;Invalid;SOUTH AFRICA;Probable drowning & scavenging
